"","Year","Primary.Type","count"
"1",2001,"THEFT",99280
"2",2001,"BATTERY",93464
"3",2001,"CRIMINAL DAMAGE",55862
"4",2001,"NARCOTICS",50568
"5",2001,"ASSAULT",31385
"6",2001,"OTHER OFFENSE",29664
"7",2001,"MOTOR VEHICLE THEFT",27555
"8",2001,"BURGLARY",26014
"9",2001,"ROBBERY",18441
"10",2001,"DECEPTIVE PRACTICE",14950
"11",2002,"THEFT",98334
"12",2002,"BATTERY",94153
"13",2002,"CRIMINAL DAMAGE",55941
"14",2002,"NARCOTICS",51789
"15",2002,"OTHER OFFENSE",32601
"16",2002,"ASSAULT",31523
"17",2002,"BURGLARY",25623
"18",2002,"MOTOR VEHICLE THEFT",25121
"19",2002,"ROBBERY",18523
"20",2002,"CRIMINAL TRESPASS",13880
"21",2003,"THEFT",98876
"22",2003,"BATTERY",88380
"23",2003,"CRIMINAL DAMAGE",55011
"24",2003,"NARCOTICS",54288
"25",2003,"OTHER OFFENSE",31148
"26",2003,"ASSAULT",29477
"27",2003,"BURGLARY",25157
"28",2003,"MOTOR VEHICLE THEFT",22749
"29",2003,"ROBBERY",17332
"30",2003,"CRIMINAL TRESPASS",14807
"31",2004,"THEFT",95464
"32",2004,"BATTERY",87136
"33",2004,"NARCOTICS",57060
"34",2004,"CRIMINAL DAMAGE",53164
"35",2004,"OTHER OFFENSE",29533
"36",2004,"ASSAULT",28850
"37",2004,"BURGLARY",24564
"38",2004,"MOTOR VEHICLE THEFT",22805
"39",2004,"ROBBERY",15978
"40",2004,"CRIMINAL TRESPASS",15913
"41",2005,"THEFT",85684
"42",2005,"BATTERY",83964
"43",2005,"NARCOTICS",56234
"44",2005,"CRIMINAL DAMAGE",54548
"45",2005,"OTHER OFFENSE",28028
"46",2005,"ASSAULT",27067
"47",2005,"BURGLARY",25503
"48",2005,"MOTOR VEHICLE THEFT",22497
"49",2005,"CRIMINAL TRESPASS",16655
"50",2005,"ROBBERY",16047
"51",2006,"THEFT",86241
"52",2006,"BATTERY",80666
"53",2006,"CRIMINAL DAMAGE",57124
"54",2006,"NARCOTICS",55813
"55",2006,"OTHER OFFENSE",27101
"56",2006,"ASSAULT",25945
"57",2006,"BURGLARY",24324
"58",2006,"MOTOR VEHICLE THEFT",21818
"59",2006,"ROBBERY",15969
"60",2006,"CRIMINAL TRESPASS",14505
"61",2007,"THEFT",85156
"62",2007,"BATTERY",79593
"63",2007,"NARCOTICS",54454
"64",2007,"CRIMINAL DAMAGE",53749
"65",2007,"OTHER OFFENSE",26863
"66",2007,"ASSAULT",26313
"67",2007,"BURGLARY",24858
"68",2007,"MOTOR VEHICLE THEFT",18573
"69",2007,"ROBBERY",15450
"70",2007,"DECEPTIVE PRACTICE",14174
"71",2008,"THEFT",88437
"72",2008,"BATTERY",75930
"73",2008,"CRIMINAL DAMAGE",52843
"74",2008,"NARCOTICS",46506
"75",2008,"OTHER OFFENSE",26532
"76",2008,"BURGLARY",26218
"77",2008,"ASSAULT",25448
"78",2008,"MOTOR VEHICLE THEFT",18881
"79",2008,"ROBBERY",16703
"80",2008,"DECEPTIVE PRACTICE",14935
"81",2009,"THEFT",80975
"82",2009,"BATTERY",68460
"83",2009,"CRIMINAL DAMAGE",47725
"84",2009,"NARCOTICS",43542
"85",2009,"BURGLARY",26767
"86",2009,"OTHER OFFENSE",25601
"87",2009,"ASSAULT",22861
"88",2009,"ROBBERY",15981
"89",2009,"MOTOR VEHICLE THEFT",15482
"90",2009,"DECEPTIVE PRACTICE",13883
"91",2010,"THEFT",76758
"92",2010,"BATTERY",65401
"93",2010,"NARCOTICS",43398
"94",2010,"CRIMINAL DAMAGE",40654
"95",2010,"BURGLARY",26422
"96",2010,"OTHER OFFENSE",22012
"97",2010,"ASSAULT",21537
"98",2010,"MOTOR VEHICLE THEFT",19029
"99",2010,"ROBBERY",14275
"100",2010,"DECEPTIVE PRACTICE",12585
"101",2011,"THEFT",75153
"102",2011,"BATTERY",60460
"103",2011,"NARCOTICS",38605
"104",2011,"CRIMINAL DAMAGE",37331
"105",2011,"BURGLARY",26620
"106",2011,"ASSAULT",20411
"107",2011,"OTHER OFFENSE",20206
"108",2011,"MOTOR VEHICLE THEFT",19388
"109",2011,"ROBBERY",13983
"110",2011,"DECEPTIVE PRACTICE",12733
"111",2012,"THEFT",75464
"112",2012,"BATTERY",59133
"113",2012,"CRIMINAL DAMAGE",35855
"114",2012,"NARCOTICS",35489
"115",2012,"BURGLARY",22844
"116",2012,"ASSAULT",19899
"117",2012,"OTHER OFFENSE",17524
"118",2012,"MOTOR VEHICLE THEFT",16490
"119",2012,"DECEPTIVE PRACTICE",13770
"120",2012,"ROBBERY",13485
"121",2013,"THEFT",71535
"122",2013,"BATTERY",54006
"123",2013,"NARCOTICS",34129
"124",2013,"CRIMINAL DAMAGE",30855
"125",2013,"OTHER OFFENSE",18050
"126",2013,"ASSAULT",17972
"127",2013,"BURGLARY",17894
"128",2013,"DECEPTIVE PRACTICE",13925
"129",2013,"MOTOR VEHICLE THEFT",12582
"130",2013,"ROBBERY",11819
"131",2014,"THEFT",61568
"132",2014,"BATTERY",49453
"133",2014,"NARCOTICS",29118
"134",2014,"CRIMINAL DAMAGE",27799
"135",2014,"OTHER OFFENSE",17019
"136",2014,"ASSAULT",16903
"137",2014,"DECEPTIVE PRACTICE",15969
"138",2014,"BURGLARY",14569
"139",2014,"MOTOR VEHICLE THEFT",9911
"140",2014,"ROBBERY",9800
"141",2015,"THEFT",57350
"142",2015,"BATTERY",48924
"143",2015,"CRIMINAL DAMAGE",28677
"144",2015,"NARCOTICS",23939
"145",2015,"OTHER OFFENSE",17566
"146",2015,"ASSAULT",17048
"147",2015,"DECEPTIVE PRACTICE",16459
"148",2015,"BURGLARY",13184
"149",2015,"MOTOR VEHICLE THEFT",10068
"150",2015,"ROBBERY",9638
"151",2016,"THEFT",61623
"152",2016,"BATTERY",50300
"153",2016,"CRIMINAL DAMAGE",31018
"154",2016,"DECEPTIVE PRACTICE",19373
"155",2016,"ASSAULT",18742
"156",2016,"OTHER OFFENSE",17307
"157",2016,"BURGLARY",14289
"158",2016,"NARCOTICS",13333
"159",2016,"ROBBERY",11960
"160",2016,"MOTOR VEHICLE THEFT",11285
"161",2017,"THEFT",64386
"162",2017,"BATTERY",49239
"163",2017,"CRIMINAL DAMAGE",29045
"164",2017,"DECEPTIVE PRACTICE",19714
"165",2017,"ASSAULT",19306
"166",2017,"OTHER OFFENSE",17269
"167",2017,"BURGLARY",13001
"168",2017,"ROBBERY",11880
"169",2017,"NARCOTICS",11683
"170",2017,"MOTOR VEHICLE THEFT",11380
"171",2018,"THEFT",65288
"172",2018,"BATTERY",49831
"173",2018,"CRIMINAL DAMAGE",27823
"174",2018,"ASSAULT",20406
"175",2018,"DECEPTIVE PRACTICE",19883
"176",2018,"OTHER OFFENSE",17265
"177",2018,"NARCOTICS",13593
"178",2018,"BURGLARY",11747
"179",2018,"MOTOR VEHICLE THEFT",9984
"180",2018,"ROBBERY",9681
"181",2019,"THEFT",62494
"182",2019,"BATTERY",49520
"183",2019,"CRIMINAL DAMAGE",26682
"184",2019,"ASSAULT",20620
"185",2019,"DECEPTIVE PRACTICE",19123
"186",2019,"OTHER OFFENSE",16800
"187",2019,"NARCOTICS",15080
"188",2019,"BURGLARY",9638
"189",2019,"MOTOR VEHICLE THEFT",8977
"190",2019,"ROBBERY",7995
"191",2020,"BATTERY",41513
"192",2020,"THEFT",41332
"193",2020,"CRIMINAL DAMAGE",24877
"194",2020,"DECEPTIVE PRACTICE",18439
"195",2020,"ASSAULT",18256
"196",2020,"OTHER OFFENSE",12598
"197",2020,"MOTOR VEHICLE THEFT",9959
"198",2020,"BURGLARY",8758
"199",2020,"WEAPONS VIOLATION",8432
"200",2020,"ROBBERY",7855
"201",2021,"THEFT",40809
"202",2021,"BATTERY",40466
"203",2021,"CRIMINAL DAMAGE",25096
"204",2021,"ASSAULT",20343
"205",2021,"DECEPTIVE PRACTICE",17639
"206",2021,"OTHER OFFENSE",13951
"207",2021,"MOTOR VEHICLE THEFT",10602
"208",2021,"WEAPONS VIOLATION",8978
"209",2021,"ROBBERY",7919
"210",2021,"BURGLARY",6662
"211",2022,"THEFT",54874
"212",2022,"BATTERY",40935
"213",2022,"CRIMINAL DAMAGE",27245
"214",2022,"MOTOR VEHICLE THEFT",21457
"215",2022,"ASSAULT",20806
"216",2022,"DECEPTIVE PRACTICE",16697
"217",2022,"OTHER OFFENSE",14597
"218",2022,"ROBBERY",8962
"219",2022,"WEAPONS VIOLATION",8780
"220",2022,"BURGLARY",7592
"221",2023,"THEFT",57345
"222",2023,"BATTERY",44173
"223",2023,"CRIMINAL DAMAGE",30061
"224",2023,"MOTOR VEHICLE THEFT",29231
"225",2023,"ASSAULT",22600
"226",2023,"DECEPTIVE PRACTICE",16746
"227",2023,"OTHER OFFENSE",15605
"228",2023,"ROBBERY",11059
"229",2023,"WEAPONS VIOLATION",8605
"230",2023,"BURGLARY",7473
